Host Name;DNS name 1;DNS name 2;State;Responsable;Critical;Priority;Type;Virt. Plataform;Fail Over Cluster or VMwware Datacenter;Business Function;Application name;Environment;Contact Team;Data center;Domain;Operating System;Time Zone;Network Adapter;MAC Address;IP Address Adapter 1;IP Address Adapter 2;IP Address Adapter 3;IP Address Adapter 4;Default Gateway;DNS Primary;DNS Secondary;SERVER MAKE;SERVER MODEL;SERVER TYPE;Console Remote Access;Service Tag (serial);Warranty end
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
720-1;None;;OPERATING;INTEROP;YES;P1;Appliance;None;None;Data Base Server;Node AIX;PD;;AGCO BR - Canoas;None;AIX;(UTC-03:00) Brasilia;;;None;;;;None;None;None;IBM;8202 E4D;IBM;None;216D47V;01/08/2017
720-2;None;;OPERATING;INTEROP;YES;P1;Appliance;None;None;Data Base Server;Node AIX;PD;;AGCO BR - Canoas;None;AIX;(UTC-03:00) Brasilia;;;None;;;;None;None;None;IBM;8202 E4D;IBM;None;216D4AV;01/08/2017
AGCANEXPC01;AGCANEXPC01.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Appliance;None;None;Appliance;Jabber Server;PD;;Unknown;None;Unknown;Unknown;;;10.30.80.100/21;;;;;;;;;;None;None;None
AGCANEXPC02;AGCANEXPC02.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Appliance;None;None;Appliance;Jabber Server;PD;;Unknown;None;Unknown;Unknown;;;10.30.80.101/21;;;;;;;;;;None;None;None
AGCANEXPE02;AGCANEXPE02.sa.agcocorp.com;AGCANEXPECLUSTER.sa.agcocorp.com;OPERATING;INTEROP;YES;P2;Appliance;None;None;Appliance;Jabber Server;PD;;AGCO AR - General Rodriguez;None;Unknown;Unknown;;;10.30.168.19/24;200.248.166.179;;;;;;;;;None;None;None
AGCANFW20P;AGCANFW20P;;OPERATING;AGCO;YES;P2;Physical;None;None;Infrastructure Server;Concentrador VPN;PD;Mauricio Zuccolotto;AGCO BR - Canoas;None;Unknown;(UTC-03:00) Brasilia;;;10.30.168.120;;;;;;;;;;;;
AGCANFW20P (FO);AGCANFW20P (FO);;OPERATING;AGCO;YES;P2;Physical;None;None;Infrastructure Server;Concentrador VPN;PD;Mauricio Zuccolotto;AGCO BR - Canoas;None;Unknown;(UTC-03:00) Brasilia;;;10.30.168.123;;;;;;;;;;;;
AGCANRB01P;None;;OPERATING;AGCO;YES;P2;Appliance;None;None;Appliance;Riverbed;PD;;AGCO BR - Canoas;None;Unknown;Unknown;;;10.30.20.93/22;10.30.1.11/22;10.30.0.12/22;10.30.1.3/22;10.30.20.1;10.30.22.138;10.30.22.139;;;;None;Unknown;Unknown
AGCANRB02P;None;;OPERATING;AGCO;YES;P2;Appliance;None;None;Appliance;Riverbed;PD;;AGCO BR - Canoas;None;Unknown;Unknown;;;10.30.20.9422;;;;10.30.20.1;10.30.22.138;10.30.22.139;;;;None;Unknown;Unknown
AGCASRB02P;riverbed-cas.sa.agcocorp.com;;OPERATING;AGCO;YES;P2;Appliance;None;None;Appliance;Riverbed;PD;;AGCO BR - Campinas;None;Unknown;Unknown;;;10.39.8.5/24;10.39.0.6/24;;;10.39.8.1;10.30.22.138;10.30.22.139;;;;None;Unknown;Unknown
AGENSRB01P;AGENSRB01P.sa.agcocorp.com;;OPERATING;AGCO;YES;P2;Appliance;None;None;Appliance;Riverbed;PD;;AGCO BR - Ernestina;None;Unknown;Unknown;;;10.46.8.10;;;;Unknown;Unknown;Unknown;;;;None;Unknown;Unknown
AGIBIRB01P;None;;OPERATING;AGCO;YES;P2;Appliance;None;None;Appliance;Riverbed;PD;;AGCO BR - Ibirubáone;Unknown;Unknown;;;10.37.128.41/22;10.37.128.19/22;;;10.37.128.5;10.37.128.43;10.37.128.44;;;;None;Unknown;Unknown
